team,wins,losses,ties,matches_played,goals_for,goals_against,goal_differential,goals_per_match,points,wp,owp,oowp,rpi,event_name,record
HTX ECNL B10,1,0,1,2,2,0,2,1.0,4,0.5,0.0,0.54,0.26,ECNL Boys Texas 2024-25,1-0-1
Supreme FC ECNL B10,0,0,2,2,5,5,0,2.5,2,0.0,0.17,0.7,0.26,ECNL Boys Florida 2024-25,0-0-2
Beach FC (VA) ECNL B10,1,0,0,1,3,2,1,3.0,3,1.0,0.0,0.0,0.25,ECNL Boys Mid-Atlantic 2024-25,1-0-0
Eastside FC ECNL B10,1,0,0,1,2,1,1,2.0,3,1.0,0.0,0.0,0.25,ECNL Boys Northwest 2024-25,1-0-0
Rebels SC ECNL B10,1,0,0,1,2,0,2,2.0,3,1.0,0.0,0.0,0.25,ECNL Boys Southwest 2024-25,1-0-0
Richmond United ECNL B10,1,0,0,1,2,0,2,2.0,3,1.0,0.0,0.0,0.25,ECNL Boys Mid-Atlantic 2024-25,1-0-0
XF ECNL Academy B10,1,0,0,1,2,0,2,2.0,3,1.0,0.0,0.0,0.25,ECNL Boys Northwest 2024-25,1-0-0
San Francisco Elite Academy ECNL B10,0,1,1,2,1,4,-3,0.5,1,0.0,0.38,0.21,0.24,ECNL Boys Northern Cal 2024-25,0-1-1
Gretna Elite Academy ECNL B10,2,0,0,2,7,2,5,3.5,6,1.0,-0.5,0.75,0.19,ECNL Boys Heartland 2024-25,2-0-0
Sporting Iowa ECNL B10,0,2,0,2,3,7,-4,1.5,0,0.0,0.5,-0.25,0.19,ECNL Boys Heartland 2024-25,0-2-0
Placer United ECNL B10,2,0,1,3,9,3,6,3.0,7,0.67,-0.33,0.6,0.15,ECNL Boys Northern Cal 2024-25,2-0-1
Solar SC ECNL B10,0,2,0,2,0,3,-3,0.0,0,0.0,0.25,0.06,0.14,ECNL Boys Texas 2024-25,0-2-0
Beach FC ECNL B10,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Boys Southwest 2024-25,0-0-1
LA Breakers FC ECNL B10,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Boys Southwest 2024-25,0-0-1
LV Heat Surf ECNL B10,0,1,0,1,0,2,-2,0.0,0,0.0,0.0,0.0,0.0,ECNL Boys Southwest 2024-25,0-1-0
Legends FC San Diego ECNL B10,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Boys Southwest 2024-25,0-0-1
NVA ECNL B10,0,1,0,1,2,3,-1,2.0,0,0.0,0.0,0.0,0.0,ECNL Boys Mid-Atlantic 2024-25,0-1-0
PacNW SC ECNL B10,0,1,0,1,1,2,-1,1.0,0,0.0,0.0,0.0,0.0,ECNL Boys Northwest 2024-25,0-1-0
Pateadores ECNL B10,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Boys Southwest 2024-25,0-0-1
San Diego Surf ECNL B10,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Boys Southwest 2024-25,0-0-1
Seattle United ECNL B10,0,1,0,1,0,2,-2,0.0,0,0.0,0.0,0.0,0.0,ECNL Boys Northwest 2024-25,0-1-0
Skyline Elite ECNL B10,0,1,0,1,0,2,-2,0.0,0,0.0,0.0,0.0,0.0,ECNL Boys Mid-Atlantic 2024-25,0-1-0
Slammers FC ECNL B10,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Boys Southwest 2024-25,0-0-1
Sporting California USA ECNL B10,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Boys Southwest 2024-25,0-0-1
West Coast FC ECNL B10,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Boys Southwest 2024-25,0-0-1
