team,wins,losses,ties,matches_played,goals_for,goals_against,goal_differential,goals_per_match,points,wp,owp,oowp,rpi,event_name,record
Loudoun Soccer RL B09,1,0,0,1,1,0,1,1.0,3,1.0,0.0,0.0,0.25,ECNL Regional League Boys Virginia 2024-25,1-0-0
MAFC FC USC TX RL B09,0,0,1,1,0,0,0,0.0,1,0.0,0.5,0.0,0.25,ECNL Regional League Boys USC TX 2024-25,0-0-1
Oklahoma Celtic ECNL RL B09,0,1,1,2,2,5,-3,1.0,1,0.0,0.25,0.5,0.25,ECNL Regional League Boys Texas 2024-25,0-1-1
SAFC Black ECRL B09,0,1,1,2,0,5,-5,0.0,1,0.0,0.5,0.0,0.25,ECNL Regional League Boys Texas 2024-25,0-1-1
San Diego Surf ECNL RL B09 White,1,0,0,1,1,0,1,1.0,3,1.0,0.0,0.0,0.25,ECNL Regional League Boys SoCal 2024-25,1-0-0
Sporting Nebraska FC ECNL RL B09,2,1,0,3,10,3,7,3.33,6,0.67,-0.11,0.54,0.25,ECNL Regional League Boys Heartland 2024-25,2-1-0
Villarreal VA ECNL RL B09,1,0,0,1,3,0,3,3.0,3,1.0,0.0,0.0,0.25,ECNL Regional League Boys Virginia 2024-25,1-0-0
West Coast FC ECNL RL B09 2,1,0,0,1,3,2,1,3.0,3,1.0,0.0,0.0,0.25,ECNL Regional League Boys SoCal 2024-25,1-0-0
DCSC ECNL RL Metros B09,0,1,1,2,1,8,-7,0.5,1,0.0,0.5,-0.12,0.22,ECNL Regional League Boys Virginia 2024-25,0-1-1
HTX ECNL RL B09 S,1,0,1,2,6,1,5,3.0,4,0.5,-0.12,0.62,0.22,ECNL Regional League Boys Texas 2024-25,1-0-1
McLean Green ECNL RL B09,1,1,0,2,3,2,1,1.5,3,0.5,0.0,0.38,0.22,ECNL Regional League Boys Virginia 2024-25,1-1-0
Houstonians FC TX ECNL RL B09,0,0,2,2,0,0,0,0.0,2,0.0,0.12,0.62,0.21,ECNL Regional League Boys Texas 2024-25,0-0-2
SAFC Red ECRL B09,1,0,2,3,1,0,1,0.33,5,0.33,0.0,0.5,0.21,ECNL Regional League Boys Texas 2024-25,1-0-2
Arkansas Rising ECNL RL B09,2,0,0,2,6,3,3,3.0,6,1.0,-0.33,0.46,0.2,ECNL Regional League Boys Frontier 2024-25,2-0-0
BVBIA ECNL RL B09,2,0,0,2,9,1,8,4.5,6,1.0,-0.5,0.75,0.19,ECNL Regional League Boys North Texas 2024-25,2-0-0
DKSC ECNL RL B09,1,1,0,2,4,3,1,2.0,3,0.5,-0.25,0.75,0.19,ECNL Regional League Boys North Texas 2024-25,1-1-0
Doral Soccer Club ECNL RL B09,2,0,1,3,9,0,9,3.0,7,0.67,-0.33,0.61,0.15,ECNL Regional League Boys Florida 2024-25,2-0-1
Tulsa SC ECNL RL B09,0,2,0,2,1,10,-9,0.5,0,0.0,0.5,-0.38,0.15,ECNL Regional League Boys Texas 2024-25,0-2-0
VSA ECNL RL B09,1,0,1,2,5,1,4,2.5,4,0.5,0.0,0.12,0.15,ECNL Regional League Boys Virginia 2024-25,1-0-1
210 FC USC TX RL B09,0,0,2,2,0,0,0,0.0,2,0.0,0.0,0.5,0.12,ECNL Regional League Boys USC TX 2024-25,0-0-2
Arlington Soccer ECNL RL B09,2,0,0,2,6,2,4,3.0,6,1.0,-1.0,1.5,0.12,ECNL Regional League Boys Virginia 2024-25,2-0-0
VA Reign FC ECNL RL B09,2,0,0,2,5,1,4,2.5,6,1.0,-0.75,1.0,0.12,ECNL Regional League Boys Virginia 2024-25,2-0-0
Richmond Kickers ECNL RL B09,1,1,0,2,2,1,1,1.0,3,0.5,0.0,-0.12,0.1,ECNL Regional League Boys Virginia 2024-25,1-1-0
Dynamos USC TX RL B09,0,1,1,2,0,2,-2,0.0,1,0.0,0.0,0.25,0.06,ECNL Regional League Boys USC TX 2024-25,0-1-1
PWSI Courage ECNL RL B09,1,1,0,2,7,2,5,3.5,3,0.5,-0.25,0.25,0.06,ECNL Regional League Boys Virginia 2024-25,1-1-0
Beach FC ECNL RL B09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Regional League Boys SoCal 2024-25,0-0-1
Herndon ECNL RL B09,0,1,0,1,0,1,-1,0.0,0,0.0,0.0,0.0,0.0,ECNL Regional League Boys Virginia 2024-25,0-1-0
Houston Futsal USC TX RL B09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Regional League Boys USC TX 2024-25,0-0-1
Imperial Gray USC TX RL B09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Regional League Boys USC TX 2024-25,0-0-1
LA Breakers FC  ECNL RL B09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Regional League Boys SoCal 2024-25,0-0-1
LA Breakers FC  ECNL RL B09 LB,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Regional League Boys SoCal 2024-25,0-0-1
LAFC So Cal ECNL RL B09,0,1,0,1,0,4,-4,0.0,0,0.0,0.0,0.0,0.0,ECNL Regional League Boys SoCal 2024-25,0-1-0
LSC  Nth B USC TX RL B09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Regional League Boys Texas 2024-25,0-0-1
Legends FC ECNL RL 2 B09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Regional League Boys SoCal 2024-25,0-0-1
Legends FC ECNL RL B09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Regional League Boys SoCal 2024-25,0-0-1
Legends FC San Diego ECNL RL B09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Regional League Boys SoCal 2024-25,0-0-1
Pateadores ECNL RL B09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Regional League Boys SoCal 2024-25,0-0-1
Pateadores ECNL RL B09 NB,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Regional League Boys SoCal 2024-25,0-0-1
RISE SC USC TX RL B09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Regional League Boys Texas 2024-25,0-0-1
Rangers FC ECNL RL B09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Regional League Boys SoCal 2024-25,0-0-1
Rebels SC ECNL RL B09,0,1,0,1,0,1,-1,0.0,0,0.0,0.0,0.0,0.0,ECNL Regional League Boys SoCal 2024-25,0-1-0
SDSC Surf ECNL RL B09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Regional League Boys SoCal 2024-25,0-0-1
SG1 USC TX RL B09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Regional League Boys USC TX 2024-25,0-0-1
San Diego Surf ECNL RL B09 Blue,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Regional League Boys SoCal 2024-25,0-0-1
Slammers FC Maroon ECNL RL B09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Regional League Boys SoCal 2024-25,0-0-1
Slammers FC White ECNL RL B09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Regional League Boys SoCal 2024-25,0-0-1
Sporting California USA  - ECNL RL B09,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Regional League Boys SoCal 2024-25,0-0-1
Sporting California USA - ECNL RL B09 II,0,1,0,1,2,3,-1,2.0,0,0.0,0.0,0.0,0.0,ECNL Regional League Boys SoCal 2024-25,0-1-0
Vienna Youth Soccer ECNL RL B09,0,1,0,1,0,3,-3,0.0,0,0.0,0.0,0.0,0.0,ECNL Regional League Boys Virginia 2024-25,0-1-0
Virginia Valor FC ECNL RL B09,1,1,0,2,1,4,-3,0.5,3,0.5,-0.25,0.0,0.0,ECNL Regional League Boys Virginia 2024-25,1-1-0
Wellington ECNL RL B09,0,1,0,1,2,3,-1,2.0,0,0.0,0.0,0.0,0.0,ECNL Regional League Boys Florida 2024-25,0-1-0
West Coast FC ECNL RL B09,0,1,0,1,0,1,-1,0.0,0,0.0,0.0,0.0,0.0,ECNL Regional League Boys SoCal 2024-25,0-1-0
LMVSC - RL B09,0,2,0,2,0,2,-2,0.0,0,0.0,0.0,-0.38,-0.1,ECNL Regional League Boys Virginia 2024-25,0-2-0
Virginia United RL B09,1,1,0,2,1,2,-1,0.5,3,0.5,-0.5,0.0,-0.12,ECNL Regional League Boys Virginia 2024-25,1-1-0
